make,model,fuel,gear,hp,year
Mercedes-Benz,GLS 500,Gasoline,Automatic,455.0,2019
Maserati,GranTurismo,Gasoline,Automatic,460.0,2016
Renault,Express,Gasoline,Manual,101.0,2021
Chrysler,Grand Voyager,Gasoline,Automatic,287.0,2013
Volkswagen,Cross Golf,Gasoline,Manual,160.0,2014
Mercedes-Benz,SLC 200,Gasoline,Automatic,184.0,2017
Lancia,Voyager,Diesel,Automatic,178.0,2013
DS,Automobiles DS 4,Gasoline,Manual,120.0,2012
Lancia,Thema,Gasoline,Automatic,286.0,2012
Toyota,Urban Cruiser,Diesel,Manual,90.0,2011
Maserati,Quattroporte,Gasoline,Automatic,581.0,2021
Alfa,Romeo 4C,Gasoline,Automatic,241.0,2018
Fiat,500e,Electric,Automatic,117.0,2021
Citroen,C15,Gasoline,Manual,69.0,2018
Nissan,Evalia,Diesel,Manual,90.0,2015
Hyundai,Bayon,Gasoline,Manual,101.0,2021
Volkswagen,Golf GTE,Gasoline,Automatic,204.0,2017
MINI,John Cooper Works Coupe,Gasoline,Manual,211.0,2012
McLaren,GT,Gasoline,Automatic,620.0,2019
Zhidou,D2S,Electric,Automatic,24.0,2019
Mercedes-Benz,Marco Polo,Diesel,Automatic,163.0,2018
Mercedes-Benz,A 35 AMG,Gasoline,Automatic,306.0,2019
Morgan,3-Wheeler,Gasoline,Manual,68.0,2019
MINI,Cooper Paceman,Gasoline,Manual,122.0,2014
Mercedes-Benz,S 650,Gasoline,Automatic,630.0,2019
Peugeot,301,Gasoline,Manual,82.0,2018
Nissan,370Z,Gasoline,Automatic,328.0,2018
Volkswagen,T6.1 Multivan,Diesel,Automatic,150.0,2020
Volvo,C70,Diesel,Manual,177.0,2011
Mercedes-Benz,GLE 43 AMG,Gasoline,Automatic,390.0,2017
MINI,Cooper D Paceman,Diesel,Automatic,111.0,2013
Volkswagen,T4 Allstar,Gasoline,Manual,75.0,2017
SsangYong,MUSSO,Diesel,Manual,181.0,2020
MINI,Cooper SD Paceman,Diesel,Automatic,143.0,2014
Abarth,Punto EVO,Gasoline,Manual,163.0,2012
Lada,Vesta,Gasoline,Manual,102.0,2019
MINI,Cooper S Roadster,Gasoline,Manual,184.0,2012
Volkswagen,T5 Shuttle,Diesel,Manual,140.0,2013
Mercedes-Benz,GLB 250,Gasoline,Automatic,224.0,2020
Lexus,GS 250,Gasoline,Automatic,209.0,2012
Maybach,Pullman,Gasoline,Automatic,530.0,2018
BMW,Z4 M,Gasoline,Manual,197.0,2020
Lada,Priora,Gasoline,Manual,98.0,2011
Mercedes-Benz,GLK 200,Diesel,Manual,143.0,2013
Lexus,IS 300,Electric/Gasoline,Automatic,181.0,2013
Citroen,C6,Diesel,Automatic,241.0,2012
Mercedes-Benz,CLS 500,Gasoline,Automatic,408.0,2012
Ferrari,812,Gasoline,Automatic,799.0,2021
Ferrari,FF,Gasoline,Automatic,659.0,2013
Chrysler,300C,Diesel,Automatic,218.0,2011
Chrysler,Aspen,Gasoline,Automatic,340.0,2012
Suzuki,Jimny,Gasoline,Manual,86.0,2014
BMW,214,Diesel,Manual,95.0,2015
Mercedes-Benz,G,Diesel,Automatic,204.0,2013
Ferrari,F8 Tributo,Gasoline,Automatic,721.0,2021
BMW,X7 M,Diesel,Automatic,400.0,2020
BMW,M5,Gasoline,Automatic,560.0,2012
Mercedes-Benz,CL 500,Gasoline,Automatic,435.0,2012
Peugeot,407,Diesel,Manual,109.0,2011
Alfa,Romeo Sportwagon,Diesel,Manual,170.0,2011
DS,Automobiles DS 3,Gasoline,Manual,82.0,2016
Brilliance,BS4,LPG,Manual,101.0,2011
Toyota,GT86,Gasoline,Manual,280.0,2015
Dodge,Grand Caravan,Gasoline,Automatic,287.0,2015
Mercedes-Benz,CLS 63 AMG,Gasoline,Automatic,557.0,2011
Lexus,LS 600,Electric/Gasoline,Automatic,445.0,2013
MINI,Cooper SD Coupe,Diesel,Manual,143.0,2014
Volvo,S80,Diesel,Automatic,181.0,2015
Mercedes-Benz,300,Electric/Diesel,Automatic,204.0,2012
Jaguar,XKR,Gasoline,Automatic,551.0,2012
BMW,518,Diesel,Automatic,143.0,2014
Ferrari,F12,Gasoline,Automatic,775.0,2017
Honda,Accord,Gasoline,Automatic,156.0,2011
Piaggio,Porter,Gasoline,Manual,71.0,2012
Microcar,Due,Diesel,Automatic,10.0,2014
Dodge,Caliber,Gasoline,Manual,156.0,2011
FISKER,Karma,Electric/Gasoline,Automatic,408.0,2012
Lamborghini,Gallardo,Gasoline,Automatic,560.0,2013
Jaguar,XK,Gasoline,Automatic,385.0,2014
Volvo,S60 Cross Country,Diesel,Automatic,190.0,2016
Mercedes-Benz,GLA 45 AMG,Gasoline,Automatic,381.0,2016
MINI,John Cooper Works Clubman,Gasoline,Automatic,231.0,2018
BMW,323,Gasoline,Automatic,190.0,2011
SsangYong,Rodius,Diesel,Automatic,155.0,2014
Dodge,Journey,Diesel,Manual,140.0,2011
Fiat,Linea,Gasoline,Manual,77.0,2012
Alpina,D3,Diesel,Automatic,349.0,2015
Lamborghini,Aventador,Gasoline,Automatic,700.0,2015
Others,Landwind,Gasoline,Manual,97.0,2012
Mercedes-Benz,ML 250,Diesel,Automatic,204.0,2013
Mercedes-Benz,SLK 250,Gasoline,Automatic,204.0,2011
Porsche,997,Gasoline,Automatic,345.0,2011
Mercedes-Benz,GLK 220,Diesel,Automatic,170.0,2012
Mercedes-Benz,CLS,Diesel,Automatic,265.0,2013
Morgan,Roadster,Gasoline,Manual,286.0,2014
BMW,528,Gasoline,Automatic,245.0,2017
Lexus,UX 200,Gasoline,Automatic,171.0,2019
Rolls-Royce,Wraith,Gasoline,Automatic,632.0,2014
Mitsubishi,Pajero,Diesel,Automatic,190.0,2015
BMW,760,Gasoline,Automatic,544.0,2016
Mercedes-Benz,SL 500,Gasoline,Automatic,435.0,2014
Mercedes-Benz,CLC,Gasoline,Manual,184.0,2011
Mercedes-Benz,SL 350,Gasoline,Automatic,306.0,2014
MINI,Clubvan,Diesel,Manual,111.0,2013
BMW,M850,Gasoline,Automatic,530.0,2018
Daihatsu,Cuore,Gasoline,Manual,69.0,2011
Mercedes-Benz,ML 350,Diesel,Automatic,258.0,2015
Lamborghini,Huracan,Gasoline,Automatic,610.0,2015
Toyota,Mirai,Hydrogen,Automatic,154.0,2017
Lexus,ES 300,Electric/Gasoline,Automatic,218.0,2021
Renault,Alaskan,Diesel,Automatic,190.0,2021
Volkswagen,T5 California,Diesel,Manual,140.0,2015
Nissan,NP300,Diesel,Automatic,190.0,2021
Daihatsu,Charade,Gasoline,Manual,99.0,2012
smart,city-coupé/city-cabrio,Gasoline,Automatic,71.0,2014
Audi,SQ8,Diesel,Automatic,435.0,2019
Nissan,Primastar,Diesel,Manual,90.0,2012
Fiat,Fullback,Diesel,Automatic,181.0,2018
MINI,Cooper SD Cabrio,Diesel,Automatic,143.0,2015
Dodge,Viper,Gasoline,Manual,649.0,2016
McLaren,675LT,Gasoline,Automatic,674.0,2016
Audi,S1,Gasoline,Manual,231.0,2018
Daihatsu,Terios,Gasoline,Manual,105.0,2011
Peugeot,RCZ,Gasoline,Manual,156.0,2011
Volkswagen,T6.1 Transporter,Diesel,Manual,90.0,2021
Volkswagen,New Beetle,Gasoline,Manual,105.0,2018
Mitsubishi,Eclipse,Gasoline,Automatic,163.0,2019
Mercedes-Benz,EQC 400,Electric,Automatic,408.0,2021
Mercedes-Benz,S 600,Gasoline,Automatic,530.0,2015
Abarth,595 Competizione,Gasoline,Manual,179.0,2019
Mercedes-Benz,E 43 AMG,Gasoline,Automatic,401.0,2017
Citroen,C4 SpaceTourer,Diesel,Manual,131.0,2018
Lancia,MUSA,Gasoline,Manual,95.0,2012
BMW,840,Diesel,Automatic,320.0,2019
BMW,X7,Gasoline,Automatic,530.0,2019
Lexus,LC 500,Gasoline,Automatic,464.0,2021
Lexus,LS 500,Electric/Gasoline,Automatic,359.0,2021
Mercedes-Benz,SLC 250,Diesel,Automatic,204.0,2016
Citroen,C8,Diesel,Manual,136.0,2011
Audi,RS Q8,Gasoline,Automatic,740.0,2021
Lada,Taiga,Gasoline,Manual,83.0,2014
Toyota,Proace,Diesel,Automatic,177.0,2019
Mercedes-Benz,GLC 200,Diesel,Automatic,163.0,2020
Lexus,NX 300,Electric/Gasoline,Automatic,197.0,2017
Volkswagen,Transporter,Diesel,Manual,84.0,2016
SsangYong,XLV,Diesel,Manual,116.0,2017
Toyota,Camry,Electric/Gasoline,Automatic,218.0,2020
Lexus,UX 250h,Electric/Gasoline,Automatic,184.0,2020
Lexus,LX 570,Gasoline,Automatic,367.0,2021
Audi,R8,Gasoline,Automatic,610.0,2018
Audi,Q8,Diesel,Automatic,286.0,2019
Lamborghini,Urus,Gasoline,Automatic,650.0,2019
Toyota,Highlander,Others,Automatic,247.0,2021
Ford,Transit Bus,Diesel,Manual,101.0,2011
Infiniti,Q60,Gasoline,Automatic,405.0,2017
SsangYong,REXTON,Diesel,Automatic,201.0,2021
MINI,Cooper D Clubman,Diesel,Manual,111.0,2014
Lexus,RX 450h,Electric/Gasoline,Automatic,313.0,2019
Mercedes-Benz,GLB 180,Gasoline,Automatic,136.0,2021
Hyundai,Grand Santa Fe,Diesel,Automatic,200.0,2017
BMW,140,Gasoline,Automatic,340.0,2018
Mercedes-Benz,CLS 250,Diesel,Automatic,204.0,2016
DS,Automobiles DS 3 Crossback,Electric,Automatic,136.0,2020
Volkswagen,ID.4,Electric,Automatic,204.0,2021
MINI,One Countryman,Gasoline,Manual,102.0,2018
Toyota,Land Cruiser,Gasoline,Automatic,339.0,2017
Volkswagen,Polo Cross,Gasoline,Manual,105.0,2011
Honda,CR-Z,Electric/Gasoline,Manual,114.0,2011
Renault,Latitude,Diesel,Automatic,241.0,2011
Volkswagen,Cross Touran,Diesel,Manual,105.0,2011
Ford,Fusion,Gasoline,Manual,101.0,2011
Suzuki,Kizashi,Gasoline,Manual,178.0,2011
BMW,123,Diesel,Manual,204.0,2011
Suzuki,Grand Vitara,Gasoline,Automatic,169.0,2011
Volvo,C30,Diesel,Manual,114.0,2011
Volvo,S40,Diesel,Manual,150.0,2011
Hyundai,Getz,Gasoline,Manual,67.0,2011
Bentley,Mulsanne,Gasoline,Automatic,513.0,2011
Iveco,Daily,Diesel,Manual,126.0,2011
Infiniti,EX30,Diesel,Automatic,238.0,2011
Mazda,CX-7,Diesel,Manual,173.0,2011
smart,brabus,Gasoline,Automatic,102.0,2011
Honda,Insight,Electric/Gasoline,Automatic,98.0,2011
Kia,Carnival,Diesel,Manual,150.0,2011
Mercedes-Benz,ML 300,Diesel,Automatic,204.0,2011
Volkswagen,Fox,Gasoline,Manual,60.0,2011
Daihatsu,Sirion,Gasoline,Manual,91.0,2011
Mitsubishi,I-MiEV,Electric,Automatic,48.0,2011
Volvo,V50,Diesel,Manual,114.0,2011
Subaru,Trezia,Diesel,Automatic,90.0,2012
Volkswagen,Eos,Gasoline,Manual,122.0,2012
MINI,Cooper S Coupe,Gasoline,Manual,184.0,2012
Renault,Modus,Gasoline,Manual,75.0,2012
SEAT,Exeo,Diesel,Manual,143.0,2012
SEAT,Altea XL,Gasoline,Manual,105.0,2012
MINI,One Cabrio,Gasoline,Manual,98.0,2012
Mercedes-Benz,R 300,Diesel,Automatic,190.0,2012
MINI,Cooper SD Clubman,Diesel,Manual,143.0,2012
Volkswagen,Jetta,Diesel,Manual,105.0,2012
Chevrolet,Malibu,Diesel,Manual,160.0,2012
Citroen,C-Zero,Electric,Automatic,48.0,2012
Subaru,Legacy,Diesel,Manual,150.0,2012
MINI,Cooper S Paceman,Gasoline,Manual,184.0,2012
Nissan,Pathfinder,Diesel,Manual,190.0,2012
BMW,523,Gasoline,Manual,204.0,2012
McLaren,MP4-12C,Gasoline,Automatic,625.0,2012
Chevrolet,Volt,Electric/Gasoline,Automatic,151.0,2012
Fiat,Grande Punto,Gasoline,Manual,69.0,2012
MINI,One D Countryman,Diesel,Manual,90.0,2012
MINI,Cooper SD Countryman,Diesel,Manual,143.0,2012
Hyundai,Veloster,Gasoline,Manual,140.0,2012
Mercedes-Benz,GLK 250,Diesel,Automatic,204.0,2012
Mercedes-Benz,R 350,Diesel,Automatic,265.0,2012
Renault,Grand Espace,Diesel,Automatic,173.0,2012
Audi,S4,Gasoline,Automatic,333.0,2012
Suzuki,Alto,Gasoline,Manual,68.0,2012
Renault,Wind,Gasoline,Manual,102.0,2012
BMW,328,Gasoline,Manual,245.0,2012
Peugeot,206,Gasoline,Manual,60.0,2012
Renault,Grand Modus,Diesel,Manual,88.0,2012
Peugeot,807,Diesel,Manual,136.0,2012
Alfa,Romeo 159,Diesel,Manual,170.0,2012
Fiat,Sedici,Gasoline,Automatic,120.0,2012
MINI,Cooper D Cabrio,Diesel,Manual,111.0,2012
Citroen,C4 Aircross,Diesel,Manual,114.0,2013
Mercedes-Benz,A 160,Gasoline,Automatic,95.0,2013
Mercedes-Benz,C 350,Diesel,Automatic,265.0,2013
MINI,Cooper Coupe,Gasoline,Manual,122.0,2013
Lancia,Delta,Gasoline,Manual,140.0,2013
Mercedes-Benz,250,Gasoline,Automatic,204.0,2013
Nissan,Murano,Diesel,Automatic,190.0,2013
Nissan,Qashqai+2,Diesel,Manual,131.0,2013
Isuzu,D-Max,Diesel,Manual,163.0,2013
BMW,428,Gasoline,Manual,245.0,2013
Land,Rover Freelander,Diesel,Manual,150.0,2013
Mercedes-Benz,SLS,Gasoline,Automatic,571.0,2013
MINI,Cooper Roadster,Gasoline,Manual,122.0,2013
Mercedes-Benz,E 500,Gasoline,Automatic,408.0,2013
Chevrolet,Spark,Gasoline,Manual,82.0,2013
Nissan,Pixo,Gasoline,Automatic,68.0,2013
Chevrolet,Trax,Gasoline,Manual,116.0,2013
Mercedes-Benz,SLK 200,Gasoline,Manual,184.0,2013
Mercedes-Benz,Viano,Diesel,Automatic,224.0,2013
BMW,535,Diesel,Automatic,313.0,2013
Mercedes-Benz,GLK 350,Diesel,Automatic,265.0,2013
Chevrolet,Aveo,Diesel,Manual,75.0,2013
Cadillac,ATS,Gasoline,Manual,276.0,2013
BMW,650,Gasoline,Automatic,449.0,2013
Peugeot,4008,Diesel,Manual,150.0,2013
Ferrari,458,Gasoline,Automatic,570.0,2013
Lada,Niva,Gasoline,Manual,83.0,2013
Skoda,Praktik,Gasoline,Manual,69.0,2013
Opel,Agila,Gasoline,Automatic,94.0,2013
Chevrolet,Captiva,Diesel,Manual,184.0,2013
Mitsubishi,Colt,Gasoline,Manual,75.0,2013
Lada,Granta,Gasoline,Manual,87.0,2013
Toyota,Verso-S,Gasoline,Automatic,99.0,2014
Volkswagen,T5 Kombi,Diesel,Manual,102.0,2014
Subaru,Impreza,Gasoline,Manual,114.0,2014
Chevrolet,Orlando,Diesel,Manual,163.0,2014
Mazda,5,Gasoline,Manual,150.0,2014
MINI,Cooper D Countryman,Diesel,Manual,111.0,2014
Chevrolet,Cruze,Gasoline,Manual,140.0,2014
Toyota,Verso,Gasoline,Manual,132.0,2014
Toyota,Avensis,Gasoline,Manual,147.0,2014
Aixam,City,Electric,Automatic,5.0,2014
Opel,Cascada,Gasoline,Manual,120.0,2014
Chrysler,Town & Country,Gasoline,Automatic,287.0,2014
Volkswagen,Passat CC,Diesel,Automatic,140.0,2014
Mercedes-Benz,B 250,Gasoline,Automatic,211.0,2014
Fiat,Bravo,Gasoline,Manual,140.0,2014
Mercedes-Benz,GL 350,Diesel,Automatic,258.0,2014
Audi,S7,Gasoline,Automatic,420.0,2014
Porsche,911,Gasoline,Automatic,349.0,2014
Toyota,iQ,Gasoline,Manual,68.0,2014
Infiniti,Q70,Electric/Gasoline,Automatic,364.0,2014
Suzuki,Splash,Gasoline,Manual,94.0,2014
Lancia,Ypsilon,Gasoline,Manual,69.0,2014
Citroen,C5,Diesel,Manual,140.0,2014
Citroen,C3 Picasso,Diesel,Manual,99.0,2015
Fiat,Scudo,Diesel,Manual,128.0,2015
Mercedes-Benz,B 160,Diesel,Manual,90.0,2015
Volkswagen,T5,Diesel,Automatic,140.0,2015
BMW,114,Diesel,Manual,95.0,2015
Citroen,DS5,Diesel,Manual,150.0,2015
Subaru,XV,Gasoline,Automatic,114.0,2015
Volkswagen,T5 Transporter,Diesel,Manual,102.0,2015
Suzuki,SX4,Gasoline,Manual,120.0,2015
Renault,Laguna,Diesel,Manual,173.0,2015
Infiniti,Q50,Diesel,Automatic,170.0,2015
Fiat,Freemont,Diesel,Manual,170.0,2015
Peugeot,207,Gasoline,Manual,120.0,2015
SEAT,Altea,Diesel,Manual,105.0,2015
Subaru,OUTBACK,Gasoline,Automatic,175.0,2015
Citroen,DS4,Gasoline,Manual,131.0,2015
MINI,Cooper Countryman,Gasoline,Manual,122.0,2015
Aston,Martin Vantage,Gasoline,Automatic,572.0,2015
Volkswagen,T5 Caravelle,Diesel,Manual,140.0,2015
Volvo,V70,Diesel,Automatic,215.0,2015
Dodge,Challenger,Gasoline,Automatic,309.0,2015
Hyundai,iX35,Diesel,Manual,116.0,2015
Volkswagen,Amarok,Diesel,Manual,140.0,2015
Rolls-Royce,Ghost,Gasoline,Automatic,571.0,2015
Peugeot,Bipper,Diesel,Manual,75.0,2015
Volkswagen,Phaeton,Gasoline,Automatic,334.0,2015
Volkswagen,T5 Multivan,Diesel,Automatic,179.0,2015
Mercedes-Benz,CLS 400,Gasoline,Automatic,333.0,2015
Fiat,Ducato,Diesel,Manual,116.0,2015
Mercedes-Benz,CLS 220,Diesel,Automatic,170.0,2015
Lexus,GS 450h,Electric/Gasoline,Automatic,345.0,2015
Mercedes-Benz,GL 63 AMG,Gasoline,Automatic,557.0,2015
Skoda,Roomster,Gasoline,Manual,69.0,2015
Mitsubishi,Lancer,Gasoline,Manual,117.0,2015
Volkswagen,CC,Gasoline,Automatic,299.0,2015
Peugeot,107,Gasoline,Manual,68.0,2015
Mercedes-Benz,CLS 350,Diesel,Automatic,258.0,2016
Opel,Antara,Diesel,Manual,170.0,2016
Piaggio,Ape,Gasoline,Manual,11.0,2016
Ferrari,488,Gasoline,Automatic,670.0,2016
SsangYong,Korando,Diesel,Automatic,178.0,2016
Volkswagen,Golf Cabriolet,Gasoline,Automatic,125.0,2016
Mercedes-Benz,SLK 300,Gasoline,Automatic,245.0,2016
Mercedes-Benz,S 500,Gasoline,Automatic,455.0,2016
SsangYong,Tivoli,Gasoline,Manual,128.0,2016
Dodge,Dart,Gasoline,Automatic,188.0,2016
Volkswagen,Polo GTI,Gasoline,Manual,192.0,2016
Hyundai,Genesis,Gasoline,Automatic,315.0,2016
Citroen,Nemo,Diesel,Manual,75.0,2016
Nissan,NV200,Diesel,Manual,110.0,2016
MINI,Cooper Clubman,Gasoline,Automatic,136.0,2016
DS,Automobiles DS 5,Diesel,Automatic,181.0,2016
Mercedes-Benz,GLE 450,Gasoline,Automatic,367.0,2016
Volvo,XC70,Diesel,Manual,163.0,2016
Ligier,JS 50,Diesel,Automatic,5.0,2016
Skoda,Yeti,Gasoline,Automatic,110.0,2016
Honda,HR-V,Gasoline,Manual,131.0,2016
BMW,125,Gasoline,Automatic,224.0,2016
Audi,RS Q3,Gasoline,Automatic,430.0,2016
BMW,M6,Gasoline,Automatic,600.0,2016
Volkswagen,Scirocco,Gasoline,Automatic,179.0,2016
Opel,Movano,Diesel,Manual,131.0,2016
Peugeot,Partner,Diesel,Manual,75.0,2016
Renault,Rapid,Gasoline,Manual,114.0,2016
Alfa,Romeo MiTo,Diesel,Manual,95.0,2016
Citroen,Jumper,Diesel,Manual,131.0,2016
Opel,Zafira Tourer,Diesel,Automatic,131.0,2016
Honda,Odyssey,Gasoline,Automatic,283.0,2016
Mercedes-Benz,GLS 350,Diesel,Automatic,258.0,2017
BMW,X6 M,Gasoline,Automatic,575.0,2017
BMW,i8,Electric/Gasoline,Automatic,362.0,2017
Alpina,B7,Gasoline,Automatic,608.0,2017
Aston,Martin Rapide,Gasoline,Automatic,560.0,2017
McLaren,570S,Gasoline,Automatic,570.0,2017
Peugeot,iOn,Electric,Automatic,48.0,2017
Hyundai,H-1,Diesel,Automatic,170.0,2017
Mercedes-Benz,G 350,Diesel,Automatic,245.0,2017
Citroen,C-Elysée,Gasoline,Manual,116.0,2017
Opel,Meriva,Gasoline,Manual,140.0,2017
Nissan,Pulsar,Diesel,Manual,110.0,2017
Audi,RS7,Gasoline,Automatic,605.0,2017
MINI,One D Clubman,Diesel,Manual,116.0,2017
Honda,NSX,Gasoline,Automatic,581.0,2017
Renault,Twizy,Electric,Automatic,11.0,2017
Microcar,M.Go,Diesel,Automatic,8.0,2017
Nissan,Note,Gasoline,Manual,98.0,2017
Fiat,124 Spider,Gasoline,Manual,140.0,2017
Ford,B-Max,Gasoline,Automatic,105.0,2017
Citroen,DS3,Gasoline,Automatic,110.0,2017
BMW,325,Diesel,Automatic,224.0,2017
MINI,Cooper S Cabrio,Gasoline,Automatic,192.0,2017
Kia,Soul,Diesel,Automatic,136.0,2017
Mercedes-Benz,E 250,Gasoline,Automatic,211.0,2017
Aston,Martin,Gasoline,Automatic,604.0,2017
Mercedes-Benz,GLE 250,Diesel,Automatic,204.0,2017
BMW,335,Diesel,Automatic,313.0,2017
Tesla,Model X,Electric,Automatic,333.0,2017
Alpina,B5,Gasoline,Automatic,608.0,2017
Lada,Kalina,Gasoline,Manual,98.0,2017
MINI,Cooper S Clubman,Gasoline,Manual,192.0,2017
BMW,418,Diesel,Manual,150.0,2017
Tesla,Model S,Electric,Automatic,532.0,2017
Mercedes-Benz,GLA 220,Diesel,Automatic,177.0,2017
Mercedes-Benz,GLC 220,Diesel,Automatic,170.0,2017
MINI,Cooper SD,Diesel,Automatic,190.0,2017
BMW,225,Electric/Gasoline,Automatic,224.0,2018
Subaru,Forester,Gasoline,Automatic,150.0,2018
Mercedes-Benz,V 200,Diesel,Automatic,163.0,2018
Lexus,RC 300h,Electric/Gasoline,Automatic,223.0,2018
Mercedes-Benz,A 45 AMG,Gasoline,Automatic,381.0,2018
Mercedes-Benz,GLE 500,Electric/Gasoline,Automatic,333.0,2018
Mercedes-Benz,CLA 45 AMG,Gasoline,Automatic,381.0,2018
BMW,M3,Gasoline,Automatic,431.0,2018
Baic,Senova X35,Gasoline,Manual,111.0,2018
Kia,Carens,Gasoline,Manual,135.0,2018
Baic,BJ20,Gasoline,Automatic,136.0,2018
Chrysler,Pacifica,LPG,Automatic,291.0,2018
Dodge,Durango,Gasoline,Automatic,481.0,2018
Audi,TT RS,Gasoline,Automatic,400.0,2018
Audi,RS6,Gasoline,Automatic,605.0,2018
Corvette,C7,Gasoline,Manual,635.0,2018
Maserati,GranCabrio,Gasoline,Automatic,460.0,2018
Dacia,Dokker,Gasoline,Manual,102.0,2018
Fiat,Punto Evo,Gasoline,Manual,69.0,2018
MINI,Cooper D,Diesel,Manual,150.0,2018
Toyota,Prius+,Electric/Gasoline,Automatic,136.0,2018
Peugeot,Boxer,Diesel,Manual,163.0,2018
MINI,One D,Diesel,Manual,95.0,2018
Ford,Ka/Ka+,Gasoline,Manual,86.0,2018
Fiat,Punto,Gasoline,Manual,77.0,2018
Fiat,Fiorino,Gasoline,Manual,77.0,2018
MINI,John Cooper Works,Gasoline,Automatic,231.0,2018
Ford,Grand C-Max,Diesel,Manual,150.0,2018
BMW,316,Diesel,Automatic,116.0,2018
BMW,M1,Gasoline,Automatic,340.0,2018
BMW,430,Gasoline,Manual,252.0,2018
SEAT,Toledo,Gasoline,Manual,110.0,2018
SEAT,Mii,Others,Manual,68.0,2018
BMW,X6,Diesel,Automatic,313.0,2018
MINI,One Clubman,Gasoline,Manual,102.0,2018
