,Unnamed: 0.1,Unnamed: 0,make,model,fuel,gear,hp,year
758,758,763,Mercedes-Benz,GLS 500,Gasoline,Automatic,455.0,2019
2158,2158,2169,Maserati,GranTurismo,Gasoline,Automatic,460.0,2016
2674,2674,2690,Renault,Express,Gasoline,Manual,101.0,2021
3388,3388,3408,Chrysler,Grand Voyager,Gasoline,Automatic,287.0,2013
3616,3616,3638,Volkswagen,Cross Golf,Gasoline,Manual,160.0,2014
4551,4551,4576,Mercedes-Benz,SLC 200,Gasoline,Automatic,184.0,2017
5090,5090,5119,Lancia,Voyager,Diesel,Automatic,178.0,2013
5279,5279,5308,DS,Automobiles DS 4,Gasoline,Manual,120.0,2012
6339,6339,6376,Lancia,Thema,Gasoline,Automatic,286.0,2012
6941,6941,6978,Toyota,Urban Cruiser,Diesel,Manual,90.0,2011
7340,7340,7378,Maserati,Quattroporte,Gasoline,Automatic,581.0,2021
7495,7495,7534,Alfa,Romeo 4C,Gasoline,Automatic,241.0,2018
7984,7984,8023,Fiat,500e,Electric,Automatic,117.0,2021
8738,8738,8782,Citroen,C15,Gasoline,Manual,69.0,2018
8892,8892,8938,Nissan,Evalia,Diesel,Manual,90.0,2015
9026,9026,9075,Hyundai,Bayon,Gasoline,Manual,101.0,2021
9143,9143,9194,Volkswagen,Golf GTE,Gasoline,Automatic,204.0,2017
9244,9244,9297,MINI,John Cooper Works Coupe,Gasoline,Manual,211.0,2012
10629,10629,10692,McLaren,GT,Gasoline,Automatic,620.0,2019
10833,10833,10900,Zhidou,D2S,Electric,Automatic,24.0,2019
11249,11249,11318,Mercedes-Benz,Marco Polo,Diesel,Automatic,163.0,2018
11272,11272,11341,Mercedes-Benz,A 35 AMG,Gasoline,Automatic,306.0,2019
11275,11275,11344,Morgan,3-Wheeler,Gasoline,Manual,68.0,2019
11377,11377,11446,MINI,Cooper Paceman,Gasoline,Manual,122.0,2014
11681,11681,11754,Mercedes-Benz,S 650,Gasoline,Automatic,630.0,2019
12083,12083,12158,Peugeot,301,Gasoline,Manual,82.0,2018
12312,12312,12390,Nissan,370Z,Gasoline,Automatic,328.0,2018
12564,12564,12644,Volkswagen,T6.1 Multivan,Diesel,Automatic,150.0,2020
12592,12592,12672,Volvo,C70,Diesel,Manual,177.0,2011
12925,12925,13008,Mercedes-Benz,GLE 43 AMG,Gasoline,Automatic,390.0,2017
13256,13256,13340,MINI,Cooper D Paceman,Diesel,Automatic,111.0,2013
13350,13350,13434,Volkswagen,T4 Allstar,Gasoline,Manual,75.0,2017
13376,13376,13461,SsangYong,MUSSO,Diesel,Manual,181.0,2020
13678,13678,13763,MINI,Cooper SD Paceman,Diesel,Automatic,143.0,2014
14513,14513,14602,Abarth,Punto EVO,Gasoline,Manual,163.0,2012
15077,15077,15175,Lada,Vesta,Gasoline,Manual,102.0,2019
15141,15141,15239,MINI,Cooper S Roadster,Gasoline,Manual,184.0,2012
15364,15364,15462,Volkswagen,T5 Shuttle,Diesel,Manual,140.0,2013
15504,15504,15603,Mercedes-Benz,GLB 250,Gasoline,Automatic,224.0,2020
15989,15989,16090,Lexus,GS 250,Gasoline,Automatic,209.0,2012
16328,16328,16429,Maybach,Pullman,Gasoline,Automatic,530.0,2018
16364,16364,16466,BMW,Z4 M,Gasoline,Manual,197.0,2020
17048,17048,17155,Lada,Priora,Gasoline,Manual,98.0,2011
17079,17079,17186,Mercedes-Benz,GLK 200,Diesel,Manual,143.0,2013
17515,17515,17624,Lexus,IS 300,Electric/Gasoline,Automatic,181.0,2013
17933,17933,18045,Citroen,C6,Diesel,Automatic,241.0,2012
18140,18140,18252,Mercedes-Benz,CLS 500,Gasoline,Automatic,408.0,2012
18306,18306,18419,Ferrari,812,Gasoline,Automatic,799.0,2021
18366,18366,18479,Ferrari,FF,Gasoline,Automatic,659.0,2013
18539,18539,18653,Chrysler,300C,Diesel,Automatic,218.0,2011
18554,18554,18668,Chrysler,Aspen,Gasoline,Automatic,340.0,2012
18607,18607,18721,Suzuki,Jimny,Gasoline,Manual,86.0,2014
18618,18618,18732,BMW,214,Diesel,Manual,95.0,2015
18766,18766,18880,Mercedes-Benz,G,Diesel,Automatic,204.0,2013
19134,19134,19249,Ferrari,F8 Tributo,Gasoline,Automatic,721.0,2021
19296,19296,19414,BMW,X7 M,Diesel,Automatic,400.0,2020
19332,19332,19451,BMW,M5,Gasoline,Automatic,560.0,2012
19335,19335,19454,Mercedes-Benz,CL 500,Gasoline,Automatic,435.0,2012
19514,19514,19635,Peugeot,407,Diesel,Manual,109.0,2011
19524,19524,19645,Alfa,Romeo Sportwagon,Diesel,Manual,170.0,2011
19620,19620,19742,DS,Automobiles DS 3,Gasoline,Manual,82.0,2016
20173,20173,20296,Brilliance,BS4,LPG,Manual,101.0,2011
20246,20246,20369,Toyota,GT86,Gasoline,Manual,280.0,2015
20425,20425,20548,Dodge,Grand Caravan,Gasoline,Automatic,287.0,2015
20779,20779,20903,Mercedes-Benz,CLS 63 AMG,Gasoline,Automatic,557.0,2011
20832,20832,20956,Lexus,LS 600,Electric/Gasoline,Automatic,445.0,2013
20850,20850,20974,MINI,Cooper SD Coupe,Diesel,Manual,143.0,2014
20861,20861,20985,Volvo,S80,Diesel,Automatic,181.0,2015
21248,21248,21374,Mercedes-Benz,300,Electric/Diesel,Automatic,204.0,2012
21454,21454,21583,Jaguar,XKR,Gasoline,Automatic,551.0,2012
21492,21492,21622,BMW,518,Diesel,Automatic,143.0,2014
21545,21545,21675,Ferrari,F12,Gasoline,Automatic,775.0,2017
21655,21655,21785,Honda,Accord,Gasoline,Automatic,156.0,2011
22103,22103,22237,Piaggio,Porter,Gasoline,Manual,71.0,2012
22147,22147,22281,Microcar,Due,Diesel,Automatic,10.0,2014
22304,22304,22438,Dodge,Caliber,Gasoline,Manual,156.0,2011
22323,22323,22457,FISKER,Karma,Electric/Gasoline,Automatic,408.0,2012
22330,22330,22464,Lamborghini,Gallardo,Gasoline,Automatic,560.0,2013
22529,22529,22664,Jaguar,XK,Gasoline,Automatic,385.0,2014
22567,22567,22702,Volvo,S60 Cross Country,Diesel,Automatic,190.0,2016
22790,22790,22926,Mercedes-Benz,GLA 45 AMG,Gasoline,Automatic,381.0,2016
22836,22836,22972,MINI,John Cooper Works Clubman,Gasoline,Automatic,231.0,2018
22903,22903,23039,BMW,323,Gasoline,Automatic,190.0,2011
23390,23390,23528,SsangYong,Rodius,Diesel,Automatic,155.0,2014
23759,23759,23899,Dodge,Journey,Diesel,Manual,140.0,2011
24010,24010,24150,Fiat,Linea,Gasoline,Manual,77.0,2012
24062,24062,24203,Alpina,D3,Diesel,Automatic,349.0,2015
24070,24070,24211,Lamborghini,Aventador,Gasoline,Automatic,700.0,2015
24225,24225,24366,Others,Landwind,Gasoline,Manual,97.0,2012
24245,24245,24386,Mercedes-Benz,ML 250,Diesel,Automatic,204.0,2013
24604,24604,24746,Mercedes-Benz,SLK 250,Gasoline,Automatic,204.0,2011
24605,24605,24747,Porsche,997,Gasoline,Automatic,345.0,2011
24630,24630,24772,Mercedes-Benz,GLK 220,Diesel,Automatic,170.0,2012
24642,24642,24784,Mercedes-Benz,CLS,Diesel,Automatic,265.0,2013
24672,24672,24814,Morgan,Roadster,Gasoline,Manual,286.0,2014
24728,24728,24870,BMW,528,Gasoline,Automatic,245.0,2017
24762,24762,24904,Lexus,UX 200,Gasoline,Automatic,171.0,2019
25070,25070,25217,Rolls-Royce,Wraith,Gasoline,Automatic,632.0,2014
25103,25103,25250,Mitsubishi,Pajero,Diesel,Automatic,190.0,2015
25318,25318,25468,BMW,760,Gasoline,Automatic,544.0,2016
25694,25694,25846,Mercedes-Benz,SL 500,Gasoline,Automatic,435.0,2014
25855,25855,26010,Mercedes-Benz,CLC,Gasoline,Manual,184.0,2011
25911,25911,26066,Mercedes-Benz,SL 350,Gasoline,Automatic,306.0,2014
26111,26111,26269,MINI,Clubvan,Diesel,Manual,111.0,2013
26202,26202,26361,BMW,M850,Gasoline,Automatic,530.0,2018
26278,26278,26441,Daihatsu,Cuore,Gasoline,Manual,69.0,2011
26365,26365,26528,Mercedes-Benz,ML 350,Diesel,Automatic,258.0,2015
26366,26366,26529,Lamborghini,Huracan,Gasoline,Automatic,610.0,2015
26406,26406,26569,Toyota,Mirai,Hydrogen,Automatic,154.0,2017
26484,26484,26648,Lexus,ES 300,Electric/Gasoline,Automatic,218.0,2021
26490,26490,26654,Renault,Alaskan,Diesel,Automatic,190.0,2021
26790,26790,26958,Volkswagen,T5 California,Diesel,Manual,140.0,2015
26885,26885,27056,Nissan,NP300,Diesel,Automatic,190.0,2021
26916,26916,27087,Daihatsu,Charade,Gasoline,Manual,99.0,2012
26966,26966,27138,smart,city-coupé/city-cabrio,Gasoline,Automatic,71.0,2014
27054,27054,27227,Audi,SQ8,Diesel,Automatic,435.0,2019
27143,27143,27317,Nissan,Primastar,Diesel,Manual,90.0,2012
27226,27226,27402,Fiat,Fullback,Diesel,Automatic,181.0,2018
27387,27387,27564,MINI,Cooper SD Cabrio,Diesel,Automatic,143.0,2015
27406,27406,27583,Dodge,Viper,Gasoline,Manual,649.0,2016
27407,27407,27584,McLaren,675LT,Gasoline,Automatic,674.0,2016
27458,27458,27636,Audi,S1,Gasoline,Manual,231.0,2018
27751,27751,27931,Daihatsu,Terios,Gasoline,Manual,105.0,2011
28134,28134,28321,Peugeot,RCZ,Gasoline,Manual,156.0,2011
28325,28325,28513,Volkswagen,T6.1 Transporter,Diesel,Manual,90.0,2021
28497,28497,28685,Volkswagen,New Beetle,Gasoline,Manual,105.0,2018
28511,28511,28699,Mitsubishi,Eclipse,Gasoline,Automatic,163.0,2019
28557,28557,28745,Mercedes-Benz,EQC 400,Electric,Automatic,408.0,2021
29062,29062,29255,Mercedes-Benz,S 600,Gasoline,Automatic,530.0,2015
29150,29150,29345,Abarth,595 Competizione,Gasoline,Manual,179.0,2019
29318,29318,29513,Mercedes-Benz,E 43 AMG,Gasoline,Automatic,401.0,2017
29548,29548,29743,Citroen,C4 SpaceTourer,Diesel,Manual,131.0,2018
29648,29648,29844,Lancia,MUSA,Gasoline,Manual,95.0,2012
29779,29779,29976,BMW,840,Diesel,Automatic,320.0,2019
29783,29783,29980,BMW,X7,Gasoline,Automatic,530.0,2019
29829,29829,30027,Lexus,LC 500,Gasoline,Automatic,464.0,2021
29830,29830,30028,Lexus,LS 500,Electric/Gasoline,Automatic,359.0,2021
30149,30149,30349,Mercedes-Benz,SLC 250,Diesel,Automatic,204.0,2016
30272,30272,30474,Citroen,C8,Diesel,Manual,136.0,2011
30469,30469,30672,Audi,RS Q8,Gasoline,Automatic,740.0,2021
30550,30550,30753,Lada,Taiga,Gasoline,Manual,83.0,2014
30640,30640,30844,Toyota,Proace,Diesel,Automatic,177.0,2019
30669,30669,30873,Mercedes-Benz,GLC 200,Diesel,Automatic,163.0,2020
30806,30806,31012,Lexus,NX 300,Electric/Gasoline,Automatic,197.0,2017
30995,30995,31204,Volkswagen,Transporter,Diesel,Manual,84.0,2016
31018,31018,31227,SsangYong,XLV,Diesel,Manual,116.0,2017
31502,31502,31714,Toyota,Camry,Electric/Gasoline,Automatic,218.0,2020
31505,31505,31717,Lexus,UX 250h,Electric/Gasoline,Automatic,184.0,2020
31519,31519,31731,Lexus,LX 570,Gasoline,Automatic,367.0,2021
31662,31662,31874,Audi,R8,Gasoline,Automatic,610.0,2018
31692,31692,31906,Audi,Q8,Diesel,Automatic,286.0,2019
31693,31693,31907,Lamborghini,Urus,Gasoline,Automatic,650.0,2019
31722,31722,31936,Toyota,Highlander,Others,Automatic,247.0,2021
31738,31738,31952,Ford,Transit Bus,Diesel,Manual,101.0,2011
31871,31871,32087,Infiniti,Q60,Gasoline,Automatic,405.0,2017
31948,31948,32164,SsangYong,REXTON,Diesel,Automatic,201.0,2021
32231,32231,32449,MINI,Cooper D Clubman,Diesel,Manual,111.0,2014
32341,32341,32559,Lexus,RX 450h,Electric/Gasoline,Automatic,313.0,2019
32370,32370,32589,Mercedes-Benz,GLB 180,Gasoline,Automatic,136.0,2021
32500,32500,32719,Hyundai,Grand Santa Fe,Diesel,Automatic,200.0,2017
32533,32533,32752,BMW,140,Gasoline,Automatic,340.0,2018
32701,32701,32920,Mercedes-Benz,CLS 250,Diesel,Automatic,204.0,2016
32772,32772,32991,DS,Automobiles DS 3 Crossback,Electric,Automatic,136.0,2020
32798,32798,33017,Volkswagen,ID.4,Electric,Automatic,204.0,2021
33179,33179,33399,MINI,One Countryman,Gasoline,Manual,102.0,2018
33563,33563,33785,Toyota,Land Cruiser,Gasoline,Automatic,339.0,2017
33760,33760,33983,Volkswagen,Polo Cross,Gasoline,Manual,105.0,2011
33771,33771,33994,Honda,CR-Z,Electric/Gasoline,Manual,114.0,2011
33991,33991,34215,Renault,Latitude,Diesel,Automatic,241.0,2011
33998,33998,34222,Volkswagen,Cross Touran,Diesel,Manual,105.0,2011
34043,34043,34267,Ford,Fusion,Gasoline,Manual,101.0,2011
34130,34130,34355,Suzuki,Kizashi,Gasoline,Manual,178.0,2011
34181,34181,34406,BMW,123,Diesel,Manual,204.0,2011
34198,34198,34423,Suzuki,Grand Vitara,Gasoline,Automatic,169.0,2011
34214,34214,34439,Volvo,C30,Diesel,Manual,114.0,2011
34257,34257,34482,Volvo,S40,Diesel,Manual,150.0,2011
34288,34288,34513,Hyundai,Getz,Gasoline,Manual,67.0,2011
34294,34294,34519,Bentley,Mulsanne,Gasoline,Automatic,513.0,2011
34325,34325,34550,Iveco,Daily,Diesel,Manual,126.0,2011
34349,34349,34574,Infiniti,EX30,Diesel,Automatic,238.0,2011
34388,34388,34613,Mazda,CX-7,Diesel,Manual,173.0,2011
34423,34423,34649,smart,brabus,Gasoline,Automatic,102.0,2011
34440,34440,34666,Honda,Insight,Electric/Gasoline,Automatic,98.0,2011
34462,34462,34688,Kia,Carnival,Diesel,Manual,150.0,2011
34485,34485,34712,Mercedes-Benz,ML 300,Diesel,Automatic,204.0,2011
34497,34497,34724,Volkswagen,Fox,Gasoline,Manual,60.0,2011
34545,34545,34773,Daihatsu,Sirion,Gasoline,Manual,91.0,2011
34622,34622,34851,Mitsubishi,I-MiEV,Electric,Automatic,48.0,2011
34746,34746,34975,Volvo,V50,Diesel,Manual,114.0,2011
34804,34804,35033,Subaru,Trezia,Diesel,Automatic,90.0,2012
34959,34959,35189,Volkswagen,Eos,Gasoline,Manual,122.0,2012
34992,34992,35222,MINI,Cooper S Coupe,Gasoline,Manual,184.0,2012
35010,35010,35240,Renault,Modus,Gasoline,Manual,75.0,2012
35056,35056,35286,SEAT,Exeo,Diesel,Manual,143.0,2012
35073,35073,35304,SEAT,Altea XL,Gasoline,Manual,105.0,2012
35169,35169,35403,MINI,One Cabrio,Gasoline,Manual,98.0,2012
35192,35192,35427,Mercedes-Benz,R 300,Diesel,Automatic,190.0,2012
35231,35231,35466,MINI,Cooper SD Clubman,Diesel,Manual,143.0,2012
35240,35240,35475,Volkswagen,Jetta,Diesel,Manual,105.0,2012
35277,35277,35512,Chevrolet,Malibu,Diesel,Manual,160.0,2012
35297,35297,35532,Citroen,C-Zero,Electric,Automatic,48.0,2012
35298,35298,35533,Subaru,Legacy,Diesel,Manual,150.0,2012
35306,35306,35541,MINI,Cooper S Paceman,Gasoline,Manual,184.0,2012
35347,35347,35582,Nissan,Pathfinder,Diesel,Manual,190.0,2012
35371,35371,35606,BMW,523,Gasoline,Manual,204.0,2012
35399,35399,35634,McLaren,MP4-12C,Gasoline,Automatic,625.0,2012
35422,35422,35658,Chevrolet,Volt,Electric/Gasoline,Automatic,151.0,2012
35436,35436,35673,Fiat,Grande Punto,Gasoline,Manual,69.0,2012
35453,35453,35690,MINI,One D Countryman,Diesel,Manual,90.0,2012
35458,35458,35695,MINI,Cooper SD Countryman,Diesel,Manual,143.0,2012
35464,35464,35701,Hyundai,Veloster,Gasoline,Manual,140.0,2012
35500,35500,35738,Mercedes-Benz,GLK 250,Diesel,Automatic,204.0,2012
35509,35509,35747,Mercedes-Benz,R 350,Diesel,Automatic,265.0,2012
35532,35532,35770,Renault,Grand Espace,Diesel,Automatic,173.0,2012
35537,35537,35776,Audi,S4,Gasoline,Automatic,333.0,2012
35548,35548,35787,Suzuki,Alto,Gasoline,Manual,68.0,2012
35564,35564,35803,Renault,Wind,Gasoline,Manual,102.0,2012
35649,35649,35888,BMW,328,Gasoline,Manual,245.0,2012
35717,35717,35956,Peugeot,206,Gasoline,Manual,60.0,2012
35750,35750,35989,Renault,Grand Modus,Diesel,Manual,88.0,2012
35865,35865,36107,Peugeot,807,Diesel,Manual,136.0,2012
35887,35887,36129,Alfa,Romeo 159,Diesel,Manual,170.0,2012
35899,35899,36141,Fiat,Sedici,Gasoline,Automatic,120.0,2012
35935,35935,36177,MINI,Cooper D Cabrio,Diesel,Manual,111.0,2012
35964,35964,36207,Citroen,C4 Aircross,Diesel,Manual,114.0,2013
36186,36186,36430,Mercedes-Benz,A 160,Gasoline,Automatic,95.0,2013
36302,36302,36547,Mercedes-Benz,C 350,Diesel,Automatic,265.0,2013
36370,36370,36616,MINI,Cooper Coupe,Gasoline,Manual,122.0,2013
36389,36389,36637,Lancia,Delta,Gasoline,Manual,140.0,2013
36409,36409,36657,Mercedes-Benz,250,Gasoline,Automatic,204.0,2013
36484,36484,36733,Nissan,Murano,Diesel,Automatic,190.0,2013
36491,36491,36740,Nissan,Qashqai+2,Diesel,Manual,131.0,2013
36522,36522,36771,Isuzu,D-Max,Diesel,Manual,163.0,2013
36534,36534,36783,BMW,428,Gasoline,Manual,245.0,2013
36535,36535,36784,Land,Rover Freelander,Diesel,Manual,150.0,2013
36544,36544,36794,Mercedes-Benz,SLS,Gasoline,Automatic,571.0,2013
36547,36547,36797,MINI,Cooper Roadster,Gasoline,Manual,122.0,2013
36550,36550,36800,Mercedes-Benz,E 500,Gasoline,Automatic,408.0,2013
36557,36557,36807,Chevrolet,Spark,Gasoline,Manual,82.0,2013
36559,36559,36809,Nissan,Pixo,Gasoline,Automatic,68.0,2013
36631,36631,36881,Chevrolet,Trax,Gasoline,Manual,116.0,2013
36635,36635,36885,Mercedes-Benz,SLK 200,Gasoline,Manual,184.0,2013
36647,36647,36897,Mercedes-Benz,Viano,Diesel,Automatic,224.0,2013
36651,36651,36901,BMW,535,Diesel,Automatic,313.0,2013
36690,36690,36940,Mercedes-Benz,GLK 350,Diesel,Automatic,265.0,2013
36712,36712,36962,Chevrolet,Aveo,Diesel,Manual,75.0,2013
36731,36731,36982,Cadillac,ATS,Gasoline,Manual,276.0,2013
36747,36747,36998,BMW,650,Gasoline,Automatic,449.0,2013
36800,36800,37051,Peugeot,4008,Diesel,Manual,150.0,2013
36852,36852,37104,Ferrari,458,Gasoline,Automatic,570.0,2013
36928,36928,37181,Lada,Niva,Gasoline,Manual,83.0,2013
36964,36964,37217,Skoda,Praktik,Gasoline,Manual,69.0,2013
36978,36978,37231,Opel,Agila,Gasoline,Automatic,94.0,2013
36985,36985,37238,Chevrolet,Captiva,Diesel,Manual,184.0,2013
37012,37012,37265,Mitsubishi,Colt,Gasoline,Manual,75.0,2013
37079,37079,37332,Lada,Granta,Gasoline,Manual,87.0,2013
37202,37202,37456,Toyota,Verso-S,Gasoline,Automatic,99.0,2014
37308,37308,37563,Volkswagen,T5 Kombi,Diesel,Manual,102.0,2014
37331,37331,37586,Subaru,Impreza,Gasoline,Manual,114.0,2014
37334,37334,37589,Chevrolet,Orlando,Diesel,Manual,163.0,2014
37418,37418,37673,Mazda,5,Gasoline,Manual,150.0,2014
37425,37425,37680,MINI,Cooper D Countryman,Diesel,Manual,111.0,2014
37428,37428,37683,Chevrolet,Cruze,Gasoline,Manual,140.0,2014
37469,37469,37724,Toyota,Verso,Gasoline,Manual,132.0,2014
37592,37592,37847,Toyota,Avensis,Gasoline,Manual,147.0,2014
37604,37604,37859,Aixam,City,Electric,Automatic,5.0,2014
37640,37640,37895,Opel,Cascada,Gasoline,Manual,120.0,2014
37744,37744,38000,Chrysler,Town & Country,Gasoline,Automatic,287.0,2014
37753,37753,38009,Volkswagen,Passat CC,Diesel,Automatic,140.0,2014
37769,37769,38025,Mercedes-Benz,B 250,Gasoline,Automatic,211.0,2014
37805,37805,38062,Fiat,Bravo,Gasoline,Manual,140.0,2014
37825,37825,38082,Mercedes-Benz,GL 350,Diesel,Automatic,258.0,2014
37826,37826,38083,Audi,S7,Gasoline,Automatic,420.0,2014
37867,37867,38127,Porsche,911,Gasoline,Automatic,349.0,2014
37905,37905,38165,Toyota,iQ,Gasoline,Manual,68.0,2014
37944,37944,38204,Infiniti,Q70,Electric/Gasoline,Automatic,364.0,2014
38138,38138,38399,Suzuki,Splash,Gasoline,Manual,94.0,2014
