make_numerico,model,fuel,gear,hp,year
16,Cooper S Countryman,Gasoline,Automatic,192.0,2018
14,Venga,Gasoline,Manual,125.0,2018
7,Zafira,Diesel,Automatic,131.0,2018
10,C 250,Diesel,Automatic,204.0,2018
19,C4 Picasso,Gasoline,Automatic,131.0,2018
12,A4 allroad,Diesel,Automatic,163.0,2018
35,Ghibli,Diesel,Automatic,275.0,2018
12,TTS,Gasoline,Automatic,310.0,2018
14,Sorento,Diesel,Automatic,170.0,2018
17,i40,Diesel,Manual,141.0,2018
26,XF,Diesel,Automatic,179.0,2018
1,550,Diesel,Automatic,400.0,2018
1,440,Gasoline,Automatic,326.0,2018
1,740,Diesel,Automatic,320.0,2018
38,Romeo Quadrifoglio,Gasoline,Automatic,510.0,2018
2,T6 Transporter,Diesel,Manual,102.0,2018
1,216,Diesel,Manual,116.0,2018
16,Cooper,Gasoline,Manual,136.0,2018
7,Ampera,Electric,Automatic,204.0,2018
35,Levante,Gasoline,Automatic,430.0,2018
26,I-Pace,Electric,Automatic,400.0,2018
21,Celerio,Gasoline,Automatic,68.0,2018
10,CLS 450,Electric/Gasoline,Automatic,367.0,2019
12,SQ7,Diesel,Automatic,435.0,2019
13,Qubo,Gasoline,Manual,77.0,2019
19,Jumpy,Diesel,Manual,122.0,2019
10,SLC 180,Gasoline,Manual,156.0,2019
9,Flex,Gasoline,Automatic,314.0,2019
10,GLC 350,Diesel,Automatic,258.0,2019
40,Charger,Gasoline,Automatic,309.0,2019
10,GLC 43 AMG,Gasoline,Automatic,367.0,2019
16,John Cooper Works Countryman,Gasoline,Automatic,306.0,2019
1,435,Diesel,Automatic,313.0,2019
1,640,Diesel,Automatic,320.0,2019
11,Silverado,Gasoline,Automatic,355.0,2019
12,A8,Diesel,Automatic,286.0,2019
72,CTS,Gasoline,Automatic,649.0,2019
10,C 43 AMG,Gasoline,Automatic,390.0,2019
10,GLC 63 AMG,Gasoline,Automatic,476.0,2019
10,E 53 AMG,Gasoline,Automatic,435.0,2019
10,E 63 AMG,Gasoline,Automatic,571.0,2019
1,750,Diesel,Automatic,400.0,2019
1,M8,Gasoline,Automatic,625.0,2019
10,G 63 AMG,Gasoline,Automatic,850.0,2019
47,600LT,Gasoline,Automatic,600.0,2019
47,720S,Gasoline,Automatic,721.0,2019
75,Z06,Gasoline,Automatic,767.0,2019
6,Prius,Electric/Gasoline,Automatic,98.0,2019
28,E-NV200,Electric,Automatic,109.0,2019
68,XD3,Diesel,Automatic,387.0,2019
1,X5 M,Diesel,Automatic,400.0,2019
10,E 350,Diesel,Automatic,258.0,2019
1,X4,Diesel,Automatic,265.0,2019
37,Rover Discovery,Diesel,Automatic,306.0,2019
10,G 400,Diesel,Automatic,330.0,2019
18,Rapid/Spaceback,Gasoline,Manual,95.0,2019
10,G 500,Gasoline,Automatic,421.0,2019
10,S 63 AMG,Gasoline,Automatic,612.0,2019
15,Logan,Gasoline,Manual,73.0,2019
9,Tourneo,Diesel,Automatic,120.0,2019
77,Birò,Electric,Automatic,5.0,2019
21,Baleno,Gasoline,Manual,111.0,2019
6,Auris,Electric/Gasoline,Automatic,136.0,2019
4,Kangoo Z.E.,Electric,Automatic,60.0,2019
20,Q30,Diesel,Manual,109.0,2019
65,1500,Gasoline,Automatic,401.0,2019
7,Adam,Gasoline,Manual,101.0,2019
7,Mokka X,Gasoline,Automatic,140.0,2019
17,iX20,Gasoline,Automatic,125.0,2019
19,C3 Aircross,Gasoline,Manual,110.0,2019
4,Master,Diesel,Manual,145.0,2019
33,CT 200h,Electric/Gasoline,Automatic,136.0,2019
1,230,Gasoline,Automatic,252.0,2019
14,Optima,Electric/Gasoline,Automatic,205.0,2019
1,525,Diesel,Automatic,231.0,2019
25,S60,Gasoline,Automatic,249.0,2019
39,Levorg,Gasoline,Automatic,170.0,2019
25,V40,Gasoline,Automatic,152.0,2019
27,991,Gasoline,Automatic,450.0,2019
14,Stonic,Gasoline,Automatic,120.0,2019
34,Cherokee,Diesel,Automatic,194.0,2019
37,Rover Discovery Sport,Gasoline,Automatic,241.0,2019
10,GLC 250,Gasoline,Automatic,211.0,2019
10,B 180,Diesel,Automatic,116.0,2019
6,Hilux,Diesel,Automatic,150.0,2019
12,Q7,Diesel,Automatic,286.0,2019
9,C-Max,Gasoline,Manual,125.0,2019
44,Model 3,Electric,Automatic,487.0,2019
26,XJ,Diesel,Automatic,300.0,2019
37,Rover Range Rover Velar,Diesel,Automatic,300.0,2019
6,RAV 4,Gasoline,Automatic,218.0,2019
2,T6 Caravelle,Diesel,Automatic,150.0,2020
2,Golf Plus,Gasoline,Automatic,300.0,2020
2,ID.3,Electric,Automatic,204.0,2020
21,Across,Electric/Gasoline,Automatic,185.0,2020
19,Grand C4 SpaceTourer,Diesel,Automatic,131.0,2020
34,Grand Cherokee,Diesel,Automatic,250.0,2020
12,A7,Diesel,Automatic,286.0,2020
2,Passat Alltrack,Diesel,Automatic,190.0,2020
14,Stinger,Gasoline,Automatic,366.0,2020
9,Edge,Diesel,Automatic,238.0,2020
1,630,Diesel,Automatic,265.0,2020
2,T6.1 California,Diesel,Automatic,199.0,2020
36,Continental,Gasoline,Automatic,549.0,2020
12,RS3,Gasoline,Automatic,400.0,2020
10,S 350,Diesel,Automatic,286.0,2020
12,SQ5,Diesel,Automatic,347.0,2020
12,RS4,Gasoline,Automatic,450.0,2020
10,S 560,Gasoline,Automatic,469.0,2020
12,RS5,Gasoline,Automatic,450.0,2020
36,Bentayga,Gasoline,Automatic,635.0,2020
29,e,Electric,Automatic,154.0,2020
25,S90,Diesel,Automatic,190.0,2020
26,XE,Gasoline,Automatic,250.0,2020
25,V60 Cross Country,Gasoline,Automatic,250.0,2020
26,F-Pace,Diesel,Automatic,300.0,2020
37,Rover Range Rover Sport,Gasoline,Automatic,575.0,2020
18,Citigo,Electric,Automatic,83.0,2020
16,Cooper S,Gasoline,Automatic,192.0,2020
10,GLA 250,Gasoline,Automatic,211.0,2020
10,CLA 200,Gasoline,Automatic,163.0,2020
1,220,Diesel,Automatic,190.0,2020
11,Camaro,Gasoline,Manual,461.0,2020
1,135,Gasoline,Automatic,306.0,2020
10,CLA 220,Diesel,Automatic,190.0,2020
1,330,Diesel,Automatic,265.0,2020
1,X2 M,Gasoline,Automatic,306.0,2020
37,Rover Range Rover Evoque,Diesel,Automatic,179.0,2020
1,240,Gasoline,Automatic,340.0,2020
10,A 180,Gasoline,Manual,136.0,2020
2,Passat,Gasoline,Automatic,150.0,2020
10,GLA 200,Gasoline,Automatic,156.0,2020
3,Alhambra,Diesel,Automatic,150.0,2020
1,120,Diesel,Automatic,190.0,2020
2,Golf GTI,Gasoline,Automatic,245.0,2020
10,B 220,Gasoline,Automatic,190.0,2020
1,235,Gasoline,Automatic,306.0,2020
1,Z4,Gasoline,Automatic,258.0,2020
1,X3,Diesel,Automatic,190.0,2020
10,C 300,Electric/Diesel,Automatic,194.0,2020
10,V 220,Diesel,Automatic,163.0,2020
10,C 400,Gasoline,Automatic,333.0,2020
1,M2,Gasoline,Automatic,411.0,2020
10,CLA 180,Gasoline,Automatic,136.0,2020
1,530,Diesel,Automatic,286.0,2020
10,V 250,Diesel,Automatic,190.0,2020
10,E 400,Diesel,Automatic,330.0,2020
1,730,Diesel,Automatic,265.0,2020
25,V90 Cross Country,Diesel,Automatic,235.0,2020
1,X5,Diesel,Automatic,286.0,2020
1,X4 M,Gasoline,Automatic,510.0,2020
19,C4 Cactus,Gasoline,Automatic,131.0,2020
15,Lodgy,Gasoline,Manual,131.0,2020
5,308,Gasoline,Manual,110.0,2020
9,Tourneo Courier,Diesel,Manual,101.0,2020
16,Cooper Cabrio,Gasoline,Manual,136.0,2020
1,X2,Gasoline,Manual,140.0,2020
10,Citan,Diesel,Manual,116.0,2020
29,Civic,Gasoline,Manual,182.0,2020
29,Jazz,Electric/Gasoline,Automatic,98.0,2020
1,218,Diesel,Automatic,150.0,2020
7,Crossland,Gasoline,Manual,110.0,2020
23,forFour,Electric,Automatic,82.0,2020
7,Astra,Diesel,Manual,122.0,2020
38,Romeo Giulietta,Diesel,Manual,120.0,2020
13,Talento,Diesel,Manual,120.0,2020
1,118,Gasoline,Automatic,140.0,2020
2,Golf Sportsvan,Diesel,Automatic,150.0,2020
1,318,Diesel,Automatic,150.0,2020
19,Grand C4 Picasso,Gasoline,Manual,131.0,2020
23,forTwo,Electric,Automatic,82.0,2020
3,Leon,Gasoline,Manual,150.0,2020
14,ProCeed / pro_cee'd,Diesel,Automatic,136.0,2020
9,Galaxy,Gasoline,Manual,165.0,2020
1,320,Gasoline,Automatic,184.0,2020
2,Crafter,Diesel,Manual,177.0,2020
25,V60,Gasoline,Automatic,250.0,2020
2,Touran,Diesel,Automatic,150.0,2020
1,520,Diesel,Automatic,190.0,2020
1,420,Diesel,Automatic,190.0,2020
29,CR-V,Gasoline,Automatic,193.0,2020
8,MX-30,Electric,Automatic,145.0,2021
28,Leaf,Electric,Automatic,218.0,2021
7,Mokka-E,Electric,Automatic,77.0,2021
6,C-HR,Electric/Gasoline,Automatic,152.0,2021
7,Vivaro,Diesel,Automatic,144.0,2021
6,Corolla,Electric/Gasoline,Automatic,152.0,2021
28,Navara,Diesel,Automatic,190.0,2021
6,Supra,Gasoline,Automatic,258.0,2021
2,T6 California,Diesel,Automatic,150.0,2021
10,GLE 63 AMG,Gasoline,Automatic,612.0,2021
10,GLS 600,Gasoline,Automatic,557.0,2021
5,Rifter,Diesel,Automatic,131.0,2021
5,2008,Diesel,Automatic,131.0,2021
18,Enyaq,Electric,Automatic,179.0,2021
31,Eclipse Cross,Electric/Gasoline,Automatic,188.0,2021
10,C 200,Gasoline,Automatic,184.0,2021
10,B 200,Gasoline,Automatic,163.0,2021
9,Transit,Diesel,Automatic,185.0,2021
9,Tourneo Custom,Diesel,Automatic,185.0,2021
10,A 200,Diesel,Automatic,150.0,2021
10,GLB 200,Diesel,Automatic,150.0,2021
10,A 220,Diesel,Automatic,190.0,2021
2,Golf Variant,Diesel,Automatic,150.0,2021
5,Traveller,Electric,Automatic,136.0,2021
2,Sharan,Gasoline,Automatic,150.0,2021
5,508,Diesel,Automatic,131.0,2021
72,XT4,Gasoline,Automatic,230.0,2021
5,5008,Gasoline,Automatic,181.0,2021
10,C 220,Diesel,Automatic,194.0,2021
6,Yaris,Gasoline,Manual,125.0,2021
7,Karl,Gasoline,Manual,73.0,2021
2,up!,Gasoline,Manual,65.0,2021
19,Spacetourer,Electric,Automatic,136.0,2021
10,E 200,Gasoline,Automatic,197.0,2021
10,GLB 220,Diesel,Automatic,190.0,2021
10,Vito,Diesel,Automatic,237.0,2021
9,Transit Custom,Diesel,Automatic,185.0,2021
9,Explorer,Gasoline,Automatic,400.0,2021
12,RS,Gasoline,Automatic,400.0,2021
10,E 450,Gasoline,Automatic,367.0,2021
4,Alpine A110,Gasoline,Automatic,292.0,2021
9,F 150,Gasoline,Automatic,405.0,2021
1,540,Gasoline,Automatic,340.0,2021
27,Boxster,Gasoline,Automatic,299.0,2021
12,A6 allroad,Diesel,Automatic,344.0,2021
10,EQV 300,Electric,Automatic,204.0,2021
10,S 450,Gasoline,Automatic,367.0,2021
27,Cayman,Gasoline,Manual,400.0,2021
40,RAM,Electric/Gasoline,Automatic,401.0,2021
10,C 63 AMG,Gasoline,Automatic,510.0,2021
10,AMG GT,Gasoline,Automatic,367.0,2021
10,GLS 400,Diesel,Automatic,330.0,2021
10,S 400,Diesel,Automatic,330.0,2021
13,New Panda,Gasoline,Manual,69.0,2021
27,Cayenne,Gasoline,Automatic,460.0,2021
10,S 260,Diesel,Automatic,330.0,2021
27,992,Gasoline,Automatic,581.0,2021
13,Tipo,Gasoline,Manual,101.0,2021
16,One,Gasoline,Automatic,102.0,2021
21,SX4 S-Cross,Electric/Gasoline,Automatic,129.0,2021
12,A1,Gasoline,Automatic,110.0,2021
21,Vitara,Electric/Gasoline,Automatic,129.0,2021
9,Transit Courier,Gasoline,Manual,101.0,2021
4,Twingo,Gasoline,Manual,65.0,2021
13,500C,Gasoline,Manual,71.0,2021
14,Rio,Gasoline,Manual,84.0,2021
21,Swift,Electric/Gasoline,Manual,83.0,2021
15,Sandero,Gasoline,Manual,91.0,2021
17,i10,Gasoline,Manual,67.0,2021
13,500X,Gasoline,Automatic,150.0,2021
1,116,Gasoline,Automatic,109.0,2021
16,Cooper SE,Electric/Gasoline,Automatic,220.0,2021
1,i3,Electric,Automatic,102.0,2021
14,Picanto,Gasoline,Manual,101.0,2021
7,Crossland X,Gasoline,Manual,83.0,2021
19,C3,Gasoline,Automatic,110.0,2021
9,Transit Connect,Gasoline,Manual,101.0,2021
15,Duster,Gasoline,Manual,131.0,2021
4,Kangoo,Diesel,Manual,116.0,2021
13,Doblo,Diesel,Manual,105.0,2021
52,595 Turismo,Gasoline,Manual,165.0,2021
3,Arona,Gasoline,Automatic,150.0,2021
28,Juke,Gasoline,Manual,114.0,2021
8,CX-3,Gasoline,Automatic,121.0,2021
8,3,Gasoline,Automatic,122.0,2021
9,EcoSport,Gasoline,Manual,125.0,2021
7,Insignia,Diesel,Automatic,122.0,2021
14,Ceed SW / cee'd SW,Gasoline,Automatic,160.0,2021
17,i30,Gasoline,Manual,120.0,2021
52,595,Gasoline,Manual,179.0,2021
34,Renegade,Gasoline,Manual,120.0,2021
14,XCeed,Electric/Diesel,Manual,136.0,2021
4,Clio,Electric/Gasoline,Automatic,140.0,2021
21,Swace,Electric/Gasoline,Automatic,98.0,2021
17,i20,Gasoline,Automatic,120.0,2021
3,Ibiza,Gasoline,Automatic,110.0,2021
18,Kamiq,CNG,Manual,90.0,2021
17,Kona Elektro,Electric,Automatic,136.0,2021
52,695,Gasoline,Manual,179.0,2021
14,Niro,Electric/Gasoline,Automatic,141.0,2021
14,e-Niro,Electric,Automatic,204.0,2021
9,Mondeo,Diesel,Automatic,190.0,2021
7,Grandland X,Diesel,Automatic,131.0,2021
4,ZOE,Electric,Automatic,69.0,2021
4,Scenic,Gasoline,Automatic,140.0,2021
19,Berlingo,Gasoline,Automatic,131.0,2021
28,Qashqai,Gasoline,Automatic,159.0,2021
31,ASX,Gasoline,Automatic,150.0,2021
4,Captur,Gasoline,Automatic,154.0,2021
2,Polo,Gasoline,Automatic,150.0,2021
2,T6 Kombi,Diesel,Manual,110.0,2021
25,XC40,Gasoline,Automatic,163.0,2021
14,Sportage,Diesel,Automatic,185.0,2021
34,Compass,Electric/Gasoline,Automatic,189.0,2021
3,Tarraco,Electric/Gasoline,Automatic,150.0,2021
18,Kodiaq,Diesel,Automatic,150.0,2021
9,Puma,Gasoline,Manual,200.0,2021
4,Megane,Electric/Gasoline,Automatic,158.0,2021
7,Zafira Life,Diesel,Automatic,177.0,2021
4,Talisman,Gasoline,Automatic,224.0,2021
4,Koleos,Gasoline,Automatic,158.0,2021
9,S-Max,Electric/Gasoline,Automatic,190.0,2021
9,Kuga,Electric/Gasoline,Automatic,152.0,2021
9,Ranger,Diesel,Automatic,212.0,2021
38,Romeo Stelvio,Gasoline,Automatic,280.0,2021
9,Mustang,Gasoline,Automatic,450.0,2021
25,V90,Diesel,Automatic,190.0,2021
34,Gladiator,Diesel,Automatic,264.0,2021
34,Wrangler,Electric/Gasoline,Automatic,381.0,2021
12,S5,Diesel,Automatic,347.0,2021
12,A6,Diesel,Automatic,286.0,2021
12,A5,Diesel,Automatic,286.0,2021
4,Espace,Gasoline,Automatic,224.0,2021
2,Tiguan,Electric/Gasoline,Automatic,150.0,2021
12,Q5,Diesel,Automatic,204.0,2021
10,E 300,Gasoline,Automatic,258.0,2021
53,Automobiles DS 7 Crossback,Electric/Gasoline,Automatic,299.0,2021
12,S3,Gasoline,Automatic,310.0,2021
12,TT,Gasoline,Automatic,245.0,2021
25,XC90,Diesel,Automatic,235.0,2021
12,Q3,Diesel,Automatic,200.0,2021
12,A4,Diesel,Automatic,204.0,2021
50,A110,Gasoline,Manual,292.0,2021
5,208,Gasoline,Automatic,131.0,2021
7,Mokka,Gasoline,Automatic,131.0,2021
5,Expert,Diesel,Automatic,122.0,2021
2,T-Roc,Gasoline,Automatic,150.0,2021
8,CX-30,Gasoline,Automatic,186.0,2021
24,Formentor,Gasoline,Manual,150.0,2021
27,Macan,Gasoline,Automatic,441.0,2021
12,e-tron,Electric,Automatic,476.0,2021
27,Taycan,Electric,Automatic,571.0,2021
12,S8,Gasoline,Automatic,700.0,2021
27,Panamera,Electric/Gasoline,Automatic,560.0,2021
48,Martin DBX,Gasoline,Automatic,551.0,2021
9,Fiesta,Gasoline,Manual,95.0,2021
9,Focus,Gasoline,Automatic,150.0,2021
9,Grand Tourneo,Diesel,Automatic,120.0,2021
2,Caddy,Diesel,Automatic,122.0,2021
2,Touareg,Electric/Gasoline,Automatic,340.0,2021
38,Romeo Giulia,Gasoline,Automatic,510.0,2021
12,S6,Diesel,Automatic,349.0,2021
1,M4,Gasoline,Automatic,510.0,2021
36,Flying Spur,Gasoline,Automatic,549.0,2021
13,500L,Gasoline,Manual,95.0,2021
52,595C,Gasoline,Automatic,165.0,2021
10,C 180,Diesel,Automatic,156.0,2021
1,X1,Gasoline,Automatic,192.0,2021
10,GLA 180,Diesel,Automatic,116.0,2021
10,CLA 250,Gasoline,Automatic,224.0,2021
10,E 220,Diesel,Automatic,194.0,2021
10,A 250,Gasoline,Automatic,224.0,2021
17,Santa Fe,Electric/Gasoline,Automatic,265.0,2021
10,SLC 300,Gasoline,Automatic,245.0,2021
10,Sprinter,Diesel,Automatic,190.0,2021
2,Arteon,Diesel,Automatic,200.0,2021
3,Ateca,Gasoline,Manual,150.0,2021
4,Trafic,Diesel,Manual,145.0,2021
7,Corsa,Electric,Automatic,136.0,2021
17,Ioniq,Electric,Manual,136.0,2021
17,Tucson,Gasoline,Manual,179.0,2021
18,Karoq,Gasoline,Automatic,150.0,2021
9,Tourneo Connect,Diesel,Automatic,120.0,2021
4,Arkana,Gasoline,Manual,140.0,2021
18,Superb,Gasoline,Automatic,150.0,2021
8,MX-5,Gasoline,Manual,184.0,2021
19,C4,Gasoline,Automatic,155.0,2021
7,Combo,Gasoline,Automatic,131.0,2021
17,Kona,Electric/Gasoline,Automatic,141.0,2021
26,E-Pace,Diesel,Automatic,204.0,2021
37,Rover Defender,Diesel,Automatic,200.0,2021
2,T6 Multivan,Diesel,Automatic,204.0,2021
48,Martin V8,Gasoline,Automatic,510.0,2021
37,Rover Range Rover,Gasoline,Automatic,566.0,2021
48,Martin DB11,Gasoline,Automatic,639.0,2021
76,Glory 580,Gasoline,Automatic,145.0,2021
10,GLC 300,Gasoline,Automatic,258.0,2021
25,XC60,Electric/Gasoline,Automatic,341.0,2021
1,X3 M,Diesel,Automatic,340.0,2021
1,340,Gasoline,Automatic,374.0,2021
10,GLE 350,Diesel,Automatic,272.0,2021
10,V 300,Diesel,Automatic,237.0,2021
10,GLE 400,Diesel,Automatic,330.0,2021
68,B3,Gasoline,Automatic,462.0,2021
26,F-Type,Gasoline,Automatic,575.0,2021
6,Aygo,Gasoline,Manual,72.0,2021
21,Ignis,Gasoline,Manual,83.0,2021
8,2,Gasoline,Manual,90.0,2021
28,NV250,Diesel,Manual,116.0,2021
28,Micra,Gasoline,Automatic,92.0,2021
14,Ceed / cee'd,Gasoline,Manual,120.0,2021
2,Passat Variant,Gasoline,Automatic,150.0,2021
8,6,Gasoline,Manual,165.0,2021
8,CX-5,Gasoline,Automatic,194.0,2021
18,Octavia,Gasoline,Automatic,110.0,2021
5,3008,Gasoline,Automatic,181.0,2021
18,Scala,Gasoline,Automatic,150.0,2021
28,X-Trail,Gasoline,Automatic,159.0,2021
4,Grand Scenic,Gasoline,Manual,158.0,2021
2,Golf,Diesel,Automatic,150.0,2021
12,A3,Gasoline,Automatic,150.0,2021
4,Kadjar,Gasoline,Manual,158.0,2021
19,C5 Aircross,Electric/Gasoline,Automatic,224.0,2021
2,T-Cross,Gasoline,Automatic,150.0,2021
12,Q2,Gasoline,Automatic,150.0,2021
31,Outlander,Electric/Gasoline,Automatic,224.0,2021
28,NV300,Diesel,Automatic,170.0,2021
5,108,Gasoline,Manual,72.0,2021
31,Space Star,Gasoline,Manual,71.0,2021
19,C1,Gasoline,Manual,72.0,2021
13,Panda,Electric/Gasoline,Manual,69.0,2021
18,Fabia,Gasoline,Manual,60.0,2021
13,500,Electric/Gasoline,Manual,71.0,2021
